date,total_spillover
2019-08-22,44.01777905696209
2019-09-20,44.202847623210445
2019-10-21,44.22781986923551
2019-11-19,44.26439586872776
2019-12-18,44.4478654908155
2020-01-16,43.24552979028422
2020-02-14,43.42987350730114
2020-03-16,63.24218694926193
2020-04-14,65.904693211289
2020-05-13,65.69054188926367
2020-06-11,65.21467177290252
2020-07-10,66.3997200185288
2020-08-10,64.7719366000944
2020-09-08,64.32565166377871
2020-10-07,64.54245512624199
2020-11-05,64.59964502144679
2020-12-04,64.88902816067582
2021-01-04,65.41024623550584
2021-02-02,64.78251933765256
2021-03-03,64.43211191614965
2021-04-01,64.10782620460775
2021-04-30,64.13962381091387
2021-05-31,63.87801056919519
2021-06-29,63.750293962160065
2021-07-28,62.94494982061326
2021-08-26,62.89640342619038
2021-09-24,62.722725599316995
2021-10-25,63.26258776529262
2021-11-23,63.117150659037435
2021-12-22,62.23633106138219
2022-01-20,63.0238835049357
2022-02-18,50.280308742699695
2022-03-21,47.39251230779882
2022-04-19,47.15941090190625
2022-05-18,46.94448947145596
2022-06-16,47.05915147271819
2022-07-15,47.651184214954576
2022-08-15,47.883649701458936
2022-09-13,48.05871472774215
2022-10-12,47.97995923999375
2022-11-10,48.050990415288815
2022-12-09,48.19689652784311
2023-01-09,47.87842337571189
2023-02-07,47.23296742831054
2023-03-08,47.46082913103905
2023-04-06,48.119189722041654
2023-05-05,48.21467046522947
2023-06-05,48.39721161600725
2023-07-04,48.175379234480694
2023-08-02,48.11408981521667
2023-08-31,48.55463632859498
2023-09-29,48.87330997207383
2023-10-30,49.085727464346036
2023-11-28,49.240972639289076
2023-12-27,49.02825256322319
2024-01-25,49.00427269118706
2024-02-23,47.54148642656027
2024-03-25,47.05852760324345
2024-04-23,46.05016640946243
2024-05-22,44.8228485048123
2024-06-20,43.98117560346792
2024-07-19,43.59507392083798
2024-08-19,43.45910684669168
2024-09-17,42.09883041495039
2024-10-16,40.740019939349374
2024-11-14,40.33276612043791
2024-12-13,40.30729920523346
