,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia),US Dollar (DXY),EUR/USD,GBP/USD,USD/JPY,WTI Crude,Brent Crude,Gold,Silver,Copper,VIX Fear,Bitcoin
TSX (Canada),0.7635789190867431,0.7001862718242168,0.5968707568311694,0.5637573511626021,0.5800046217342527,0.22869008457746023,0.2803293477139156,0.1329362373101723,0.3175298165250879,0.6190234521255984,1.0,0.3048011931946382,-0.235526453877213,0.16343757982655713,0.16343621880421474,0.1916604448031829,0.38996019454316266,0.411737808362681,0.20549117600685674,0.29818805582923935,0.3710572129769757,-0.5542488539966037,0.22693090427999113
ASX200 (Australia),0.21504808325553304,0.19180154802764604,0.38816999374077144,0.3364768251748497,0.3578001228934737,0.5710880907600336,0.5381558028409371,0.2514782517255172,0.3989048327211774,0.23367273728411142,0.3048011931946382,1.0,-0.10667573187295852,0.12648260158664024,0.1578386185528266,0.04635607022193716,0.1233170678453596,0.1500931104447428,0.07820809020134384,0.14339819252624755,0.18017876912903166,-0.11051877097956256,0.07317814630624411
US Dollar (DXY),-0.1995879219042869,-0.17636990009482142,-0.17246588744796018,-0.18292353012232265,-0.19397241221098865,-0.06005057774232227,-0.12964028886715406,-0.07298531209623016,-0.1288386865967347,-0.21939941012057185,-0.235526453877213,-0.10667573187295852,1.0,-0.3215662541313008,-0.2950201600646046,0.0933760492019175,-0.21519520889108507,-0.21804610122209142,-0.3886612726640863,-0.3947880035802313,-0.3147176716009128,0.11815859946478283,-0.08900545132286967
EUR/USD,0.13634508634366854,0.10690901778445744,0.10864480238372558,0.10515344566066777,0.10215304916737566,0.07774650573907568,0.14936527074671338,0.0643305482981765,0.1202027199255757,0.12788288806004053,0.16343757982655713,0.12648260158664024,-0.3215662541313008,1.0,0.5118996431220957,0.10306112495600164,0.11004515092424855,0.11677581618674335,0.1720771244594597,0.16148661409757456,0.14823433420645296,-0.030294502939497512,-0.008253787349211453
GBP/USD,0.14339178636394892,0.11797853956235728,0.10047134818745901,0.14009920358289396,0.12904166156274174,0.15470749707518008,0.210380453971485,0.08457231359608561,0.1465569203184768,0.13535016141080294,0.16343621880421474,0.1578386185528266,-0.2950201600646046,0.5118996431220957,1.0,-0.10218248822419974,0.09911579474112289,0.13124875006910244,0.15209798997301566,0.16722015813871108,0.16797953009248273,-0.06036256778285327,-0.06092032575084506
USD/JPY,0.20384069856198475,0.17254712719552245,0.14132155036626232,0.15238958936955946,0.14847304792120497,0.16457496156180915,0.07748245528135271,0.061804712962889335,0.08424092018483084,0.1474395984422093,0.1916604448031829,0.04635607022193716,0.0933760492019175,0.10306112495600164,-0.10218248822419974,1.0,0.05821602413242785,0.07376456459251214,-0.06593925434229665,-0.025743004567618265,0.048725316538191794,-0.11586411736155326,0.015086966858831371
WTI Crude,0.27487742390642117,0.23035650697611382,0.3194360221957921,0.26175571763452304,0.28323657183400874,0.11272051182648941,0.16027420406915457,0.09265181305857612,0.18256905953785613,0.2919544449842582,0.38996019454316266,0.1233170678453596,-0.21519520889108507,0.11004515092424855,0.09911579474112289,0.05821602413242785,1.0,0.8831125726687855,0.21044212972597898,0.2613250783397416,0.36343105740671355,-0.20316527741673882,0.06142225331092972
Brent Crude,0.3085860180012596,0.2644018513743932,0.3491053998378829,0.2884245780084087,0.3116210805190376,0.1285807446399904,0.18805670322527135,0.11473553679415971,0.20214767242647483,0.3166663045121864,0.411737808362681,0.1500931104447428,-0.21804610122209142,0.11677581618674335,0.13124875006910244,0.07376456459251214,0.8831125726687855,1.0,0.20442428346730085,0.2799634193277914,0.3912399032431082,-0.23247828470320955,0.05690439931475631
Gold,0.038283935720432205,0.03374718036611528,0.07944886355553385,0.055395422617179,0.03889025679805438,0.030832972008921513,0.07560206048379463,0.046004052293158126,0.06842614146705163,0.11795518029677574,0.20549117600685674,0.07820809020134384,-0.3886612726640863,0.1720771244594597,0.15209798997301566,-0.06593925434229665,0.21044212972597898,0.20442428346730085,1.0,0.8036902993487429,0.35676662886082844,-0.01879001972755748,0.08408092080408436
Silver,0.13746074791703056,0.13188735672491983,0.22161157910127102,0.19094812303843028,0.18905665786816395,0.11877005244340483,0.1710436686494244,0.09030529470396037,0.1588245478390097,0.19763545186611264,0.29818805582923935,0.14339819252624755,-0.3947880035802313,0.16148661409757456,0.16722015813871108,-0.025743004567618265,0.2613250783397416,0.2799634193277914,0.8036902993487429,1.0,0.44955072340424,-0.11626660455353043,0.10233802921629065
Copper,0.2778041883235803,0.2530398845815358,0.42037197880956634,0.3835994546873707,0.39892272485337865,0.16432551205506565,0.25868529768910214,0.16576202594896985,0.25760045880421817,0.3073341179847522,0.3710572129769757,0.18017876912903166,-0.3147176716009128,0.14823433420645296,0.16797953009248273,0.048725316538191794,0.36343105740671355,0.3912399032431082,0.35676662886082844,0.44955072340424,1.0,-0.21987866225151462,0.09932760345005637
VIX Fear,-0.7388588974741841,-0.7295928561382522,-0.4282438579438426,-0.4575333497568413,-0.46796773243486073,-0.09660305394888259,-0.12174295850372827,-0.06668854612731157,-0.18280460814091015,-0.4796129900978602,-0.5542488539966037,-0.11051877097956256,0.11815859946478283,-0.030294502939497512,-0.06036256778285327,-0.11586411736155326,-0.20316527741673882,-0.23247828470320955,-0.01879001972755748,-0.11626660455353043,-0.21987866225151462,1.0,-0.18124645757365576
Bitcoin,0.22763140072090754,0.2465427549128755,0.13349778085712663,0.14734402638542773,0.14234837758798072,0.006461699911703297,0.024650165073038757,0.03647217261782831,0.05841468517966593,0.16288199048108237,0.22693090427999113,0.07317814630624411,-0.08900545132286967,-0.008253787349211453,-0.06092032575084506,0.015086966858831371,0.06142225331092972,0.05690439931475631,0.08408092080408436,0.10233802921629065,0.09932760345005637,-0.18124645757365576,1.0
